CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
368289ec3abe   vsp-cutlery-6        0.00%     1.629MiB / 30.51GiB   0.01%     139kB / 127kB     0B / 0B     14
2e3794ab7880   vsp-philosopher-48   0.00%     1.711MiB / 30.51GiB   0.01%     247kB / 238kB     0B / 0B     14
08633831dffa   vsp-cutlery-11       0.00%     1.625MiB / 30.51GiB   0.01%     134kB / 122kB     0B / 0B     14
1a3287b14607   vsp-philosopher-12   0.00%     1.75MiB / 30.51GiB    0.01%     191kB / 182kB     0B / 0B     14
e2c84ccd40f3   vsp-cutlery-14       0.00%     1.633MiB / 30.51GiB   0.01%     138kB / 126kB     0B / 0B     14
1adddf76df87   vsp-philosopher-21   0.00%     1.668MiB / 30.51GiB   0.01%     248kB / 240kB     0B / 0B     14
18d2f1bdde4f   vsp-cutlery-39       0.17%     1.629MiB / 30.51GiB   0.01%     135kB / 124kB     0B / 0B     14
fd9952ace680   vsp-cutlery-28       0.00%     1.633MiB / 30.51GiB   0.01%     138kB / 127kB     0B / 0B     14
52eca4ead146   vsp-cutlery-38       0.00%     1.711MiB / 30.51GiB   0.01%     136kB / 125kB     0B / 0B     15
6db95090f572   vsp-philosopher-20   0.00%     1.801MiB / 30.51GiB   0.01%     194kB / 185kB     0B / 0B     14
8c4342ae512a   vsp-cutlery-5        0.00%     1.629MiB / 30.51GiB   0.01%     137kB / 125kB     0B / 0B     14
97f8790c2bee   vsp-cutlery-40       0.00%     1.582MiB / 30.51GiB   0.01%     132kB / 121kB     0B / 0B     14
6b2d5635b88d   vsp-philosopher-47   0.00%     1.719MiB / 30.51GiB   0.01%     246kB / 239kB     0B / 0B     14
374e5eedd669   vsp-philosopher-5    0.00%     1.66MiB / 30.51GiB    0.01%     186kB / 177kB     0B / 0B     14
ff2e4c21bfc3   vsp-cutlery-32       0.00%     1.629MiB / 30.51GiB   0.01%     132kB / 121kB     0B / 0B     14
ad17fc94467d   vsp-cutlery-22       0.00%     1.605MiB / 30.51GiB   0.01%     136kB / 125kB     0B / 0B     14
af26b1dbea1a   vsp-philosopher-23   0.00%     1.676MiB / 30.51GiB   0.01%     236kB / 227kB     0B / 0B     14
d3070228d626   vsp-philosopher-15   0.00%     1.73MiB / 30.51GiB    0.01%     185kB / 177kB     0B / 0B     14
b803f75d779f   vsp-philosopher-28   0.00%     1.785MiB / 30.51GiB   0.01%     246kB / 239kB     0B / 0B     14
ed05eac45584   vsp-cutlery-27       0.00%     1.609MiB / 30.51GiB   0.01%     136kB / 125kB     0B / 0B     14
d59db221c5a4   vsp-cutlery-20       0.00%     1.617MiB / 30.51GiB   0.01%     132kB / 121kB     0B / 0B     14
532e33914d3a   vsp-cutlery-7        0.00%     1.621MiB / 30.51GiB   0.01%     132kB / 121kB     0B / 0B     14
e7bb0526586b   vsp-philosopher-45   0.00%     1.723MiB / 30.51GiB   0.01%     185kB / 177kB     0B / 0B     14
a03310845c55   vsp-philosopher-4    0.00%     1.715MiB / 30.51GiB   0.01%     236kB / 227kB     0B / 0B     14
3f89376682a3   vsp-philosopher-26   0.00%     1.715MiB / 30.51GiB   0.01%     185kB / 177kB     0B / 0B     14
872c9eacaa74   vsp-philosopher-7    0.00%     1.805MiB / 30.51GiB   0.01%     246kB / 238kB     0B / 0B     14
bc9d726738e4   vsp-cutlery-49       0.00%     1.621MiB / 30.51GiB   0.01%     136kB / 125kB     0B / 0B     14
b6d8b5519924   vsp-cutlery-4        0.00%     1.617MiB / 30.51GiB   0.01%     136kB / 125kB     0B / 0B     14
e871a239dc9f   vsp-philosopher-31   0.00%     1.715MiB / 30.51GiB   0.01%     191kB / 184kB     0B / 0B     14
04232e3fc956   vsp-cutlery-2        0.00%     1.621MiB / 30.51GiB   0.01%     135kB / 125kB     0B / 0B     14
4dba883b7f8e   vsp-cutlery-8        0.00%     1.621MiB / 30.51GiB   0.01%     136kB / 127kB     0B / 0B     14
bc92746bf7a8   vsp-philosopher-2    0.00%     1.723MiB / 30.51GiB   0.01%     249kB / 241kB     0B / 0B     14
898fefa009b1   waiter               0.00%     2.789MiB / 30.51GiB   0.01%     4.42MB / 4.33MB   0B / 0B     13
